瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
傈林,2001,2001-03-27,4老,2001-04-07,4老,搬螟,―
傈林,2002,2002-03-23,0老,2002-03-30,-4老,搬螟,―
傈林,2003,2003-03-25,2老,2003-03-31,-3老,搬螟,―
傈林,2004,2004-03-27,4老,2004-03-31,-3老,搬螟,―
傈林,2005,2005-04-04,12老,2005-04-09,6老,搬螟,―
傈林,2006,2006-03-25,2老,2006-04-05,2老,搬螟,―
傈林,2007,2007-03-21,-2老,2007-03-27,-7老,搬螟,―
傈林,2008,2008-03-23,0老,2008-04-02,-1老,搬螟,―
傈林,2009,2009-03-17,-6老,2009-03-31,-3老,搬螟,―
傈林,2010,2010-03-28,5老,2010-04-05,2老,搬螟,―
傈林,2011,2011-04-01,9老,2011-04-10,7老,搬螟,―
傈林,2012,2012-04-01,9老,2012-04-10,7老,搬螟,―
傈林,2013,2013-03-25,2老,2013-04-03,0老,搬螟,―
傈林,2014,2014-03-22,-1老,2014-03-28,-6老,搬螟,―
傈林,2015,2015-03-17,-6老,2015-03-30,-4老,2015-04-10,2老
傈林,2016,2016-03-13,-10老,2016-03-27,-7老,2016-04-05,-3老
傈林,2017,2017-03-11,-12老,2017-04-02,-1老,2017-04-05,-3老
傈林,2018,2018-03-14,-9老,2018-03-27,-7老,2018-04-01,-7老
傈林,2019,2019-03-12,-11老,2019-03-29,-5老,2019-04-05,-3老
傈林,2020,2020-03-09,-14老,2020-03-26,-8老,2020-03-31,-8老
傈林,2021,2021-03-08,-15老,2021-03-18,-16老,2021-03-25,-14老
傈林,2022,2022-03-14,-9老,2022-03-30,-4老,2022-04-01,-7老
傈林,2023,2023-03-13,-10老,2023-03-22,-12老,2023-03-26,-13老
傈林,2024,2024-03-15,-8老,2024-03-26,-8老,2024-03-31,-8老
傈林,2025,2025-03-21,-2老,2025-03-27,-7老,2025-04-01,-7老
